Sample,Specimen.ID,Repeat.or.New.Specimen.,Shipment,Predator,Location,Month,Season,Year,Sex,Marker,Stomach.Goo,Intestinal.Goo,Location.in.body,X,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
WADE-003-134,EB24PH075-F,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-044,DL23OME003,Replacement,2,beluga whale,Nome,OCT,Fall,2023,U,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,NA,NA
WADE-003-123,PH22SH036-S,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,21
WADE-003-123,PH22SH036-S,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,21
WADE-003-040,DL22OTZ004,Replacement,2,beluga whale,Kotzebue,JUN,Summer,2022,F,12S,Yes,no,stomach,No,Yes,no,no,Yes,"Echiurid, isopod",NA
WADE-003-040,DL22OTZ004,Replacement,2,beluga whale,Kotzebue,JUN,Summer,2022,F,12S,Yes,no,stomach,No,Yes,no,no,Yes,"Echiurid, isopod",NA
WADE-003-004,2023295,Replacement,2,beluga whale,Cook Inlet,OCT,Fall,2023,F,12S,Yes,no,stomach,No,no,no,no,Yes,NA,NA
WADE-003-131,EB24GAM020-F,New,3,bearded seal,Gambell,MAY,Spring,2024,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-020,2021BDL-0723A,Replacement,2,beluga whale,Utqia?vik,JUL,Summer,2021,F,12S,Yes,no,,No,Yes,Yes,Yes,Yes,NA,NA
WADE-003-020,2021BDL-0723A,Replacement,2,beluga whale,Utqia?vik,JUL,Summer,2021,F,12S,Yes,no,stomach,No,Yes,Yes,Yes,Yes,NA,NA
WADE-003-038,DL22OME004,Replacement,2,beluga whale,Nome,JAN,Winter,2022,U,12S,Yes,no,,No,Yes,no,Yes,Yes,"Bivalve, tunicate",NA
WADE-003-038,DL22OME004,Replacement,2,beluga whale,Nome,JAN,Winter,2022,U,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Bivalve, tunicate",NA
WADE-003-137,PH22SH015-F,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,15
WADE-003-137,PH22SH015-F,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,15
WADE-003-001,2023157,Replacement,2,beluga whale,Cook Inlet,JUL,Summer,2023,M,12S,Yes,no,stomach,No,Yes,no,no,no,NA,NA
WADE-003-109,EB24GAM027-S,New,3,bearded seal,Gambell,MAY,Spring,2024,M,12S,Yes,no,stomach,No,No,unk,unk,unk,unk,NA
WADE-003-109,EB24GAM027-S,New,3,bearded seal,Gambell,MAY,Spring,2024,M,12S,Yes,no,stomach,No,No,unk,unk,unk,unk,NA
WADE-003-130,EB23SH009-F,New,3,bearded seal,Shishmaref,OCT,Fall,2023,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,0
WADE-003-134,EB24PH075-F,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-110,EB24PH055-S,New,3,bearded seal,Point Hope,JUN,Summer,2024,M,12S,Yes,no,stomach,No,No,unk,unk,unk,unk,NA
WADE-003-134,EB24PH075-F,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-110,EB24PH055-S,New,3,bearded seal,Point Hope,JUN,Summer,2024,M,12S,Yes,no,stomach,No,No,unk,unk,unk,unk,NA
WADE-003-044,DL23OME003,Replacement,2,beluga whale,Nome,OCT,Fall,2023,U,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,NA,NA
